film_name,genre,year,country,rate_film,description
Круэлла,комедия,2021,США,8.9,"Художественный фильм «Круэлла» расскажет историю становления самой легендарной бунтарки и самой модной злодейки Disney – Круэллы де Виль. Роль Эстеллы, она же Круэлла, на экране воплотит обладательница премии «Оскар»® Эмма Стоун. В роли Баронессы, главы престижного модного дома, которая выводит Эстеллу из небытия в высший свет – невероятная Эмма Томпсон. Действие происходит в Лондоне 70-х годов, охваченном зарождающейся культурой панк-рока. Режиссер фильма Крэйг Гиллеспи предлагает по-новому взглянуть на единственную в своём роде злодейку."
Душа,"анимация, семейный, приключения, комедия",2020,США,8.9,"Вы когда-нибудь задумывались о том, как и где зарождаются ваши желания, мечты и потребности? Что именно делает вас – вами? Disney и Pixar приглашают вас прогуляться по улицам Нью-Йорка и отправиться в путешествие по космическим мирам для того, чтобы найти ответы на самые важные в жизни вопросы."
Человек божий,драма,2021,Греция,8.9,"Изгнан, осужден без суда, оклеветан. Фильм рассказывает об испытаниях и невзгодах, выпавших на долю Нектария Эгинского, одного из наиболее почитаемых святых Греции. Божий человек, который до конца оставался верным своим принципам, вдохновляя людей вокруг."
Как приручить дракона 3,"анимация, семейный, комедия, приключения",2018,США,8.9,"Когда-то викинги жили в гармонии с драконами. В те времена они делили радость, горе… и последние штаны. Казалось, что так будет всегда, но появление загадочной Дневной Фурии изменило жизнь острова. В заключительной части головокружительной франшизы Иккинг и Беззубик столкнутся с безжалостным охотником на драконов, жаждущим уничтожить все, что им дорого."
Райя и последний дракон,анимация,2021,США,8.9,"Действие мультфильма происходит в государстве под названием Кумандра, в котором пять кланов образуют землю драконов. Однако магические создания давно исчезли, и Кумандру заполонили тёмные силы. Райя — одинокая воительница, которая полна решимости отыскать последнего дракона, который, как она верит, поможет спасти её родину."
Ее заветное желание,"анимация, драма, мелодрама",2020,Япония,8.8,"Жозе взяла себе имя героини романа Франсуазы Саган. Девушка прикована к инвалидному креслу и почти всё время проводит за чтением и рисованием. Знакомство и дружба со студентом Цунэо начинает менять её взгляды на жизнь, да и сам парень теперь смотрит на мир по-другому."
Аватар,"боевик, фантастика, триллер",2009,США,8.8,"Джейк Салли — бывший морской пехотинец, прикованный к инвалидному креслу. Несмотря на немощное тело, Джейк в душе по-прежнему остается воином. Он получает задание совершить путешествие в несколько световых лет к базе землян на планете Пандора, где корпорации добывают редкий минерал, имеющий огромное значение для выхода Земли из энергетического кризиса.

Поскольку воздух Пандоры токсичен, была создана программа «Аватар», в которой сознание людей подключается к аватару, биологическому телу с дистанционным управлением, помогающее находиться в этой губительной атмосфере. Аватары — созданные при помощи генной инженерии гибриды, полученные комбинированием человеческой ДНК и ДНК коренных жителей планеты Пандоры, На`ви.

Получив второе рождение в виде аватара, Джейк снова может ходить. Его миссия — уничтожить На`ви, которые стали основным препятствием для добычи ценной руды. Но прекрасная аборигенка Нейтири спасает Джейку жизнь, и после этого все меняется. Джейка принимают в ее клан, и он учится быть одним из них, что включает в себя выполнение множества задач и прохождение многочисленных испытаний.

По мере того, как отношения Джейка с его вынужденной наставницей Нейтири становятся более близкими, он учится уважать мир На`ви и в итоге находит в нем свое место. Вскоре его ждет последнее испытание, когда он поведет местную расу на битву, в которой будет решаться не больше и не меньше, чем судьба целого мира."
Начало,"боевик, фантастика, триллер",2010,США / Великобритания,8.8,"Дом Кобб — талантливый вор, лучший из лучших в опасном искусстве извлечения: он крадет ценные секреты из глубин подсознания во время сна, когда человеческий разум наиболее уязвим. Редкие способности Кобба сделали его ценным игроком в привычном к предательству мире промышленного шпионажа, но они же превратили его в извечного беглеца и лишили всего, что он когда-либо любил. И вот у Кобба появляется шанс исправить ошибки. Его последнее дело может вернуть все назад, но для этого ему нужно совершить невозможное — инициацию. Вместо идеальной кражи Кобб и его команда спецов должны будут провернуть обратное. Теперь их задача — не украсть идею, а внедрить ее. Если у них получится, это и станет идеальным преступлением."
Аватар: Специальная версия,"боевик, триллер, фантастика",2010,США,8.8,"Фантастический блокбастер обрёл новую жизнь и возвращается на 3D-экраны в специальной режиссерской версии. В картину вошел дополнительный 8-минутный эпизод, который представит новых обитателей планеты Пандора."
Большой красный пес Клиффорд,"анимация, семейный",2021,США,8.8,"Когда школьница Эмили получает в подарок от спасателя животных очаровательного щенка с красной шерстью, она и представить не может, что на утро обнаружит в своей маленькой нью-йоркской квартирке… огромного 3-метрового пса! Мама в командировке, поэтому самые захватывающие и необыкновенные приключения ждут Эмили и ее веселого и порывистого дядю Кейси. Клиффорд научит их – а заодно и весь мир – любить по-крупному!"
Джентльмены удачи,"криминал, комедия",1971,СССР,8.8,"Заведующий детским садом Трошкин оказывается как две капли воды похож на бандита по кличке ""Доцент"", похитившего у археологической экспедиции уникальный шлем Александра Македонского. Милиция ""внедряет"" добряка Трошкина в воровскую среду, и ему ничего не остается, кроме как старательно играть роль своего двойника-злодея."
Джентльмены,"боевик, криминал",2020,США,8.8,"Талантливый выпускник Оксфорда, применив свой уникальный ум и невиданную дерзость, придумал нелегальную схему обогащения, используя поместья обедневшей английской аристократии. Однако когда он решает продать свой бизнес влиятельному клану миллиардеров из США, на его пути встают не менее обаятельные, но жесткие джентльмены. Намечается обмен любезностями, который точно не обойдется без перестрелок и парочки несчастных случаев…"
Леон,"драма, триллер, криминал",1994,Франция,8.7,"Профессиональный убийца Леон, не знающий пощады и жалости, знакомится с двенадцатилетней девочкой-соседкой Матильдой, семью которой расстреливают полицейские, замешанные в торговле наркотиками. Он начинает заботиться о ней и учить своей профессией."
Гнев человеческий,"криминал, боевик, триллер",2021,Великобритания,8.7,"Эйч — загадочный и холодный на вид джентльмен, но внутри него пылает жажда справедливости. Преследуя свои мотивы, он внедряется в инкассаторскую компанию, чтобы выйти на соучастников серии многомиллионных ограблений, потрясших Лос-Анджелес. В этой запутанной игре у каждого своя роль, но под подозрением оказываются все. Виновных же обязательно постигнет гнев человеческий..."
Терминатор 2: судный день,"боевик, триллер, фантастика, приключения",1991,США / Франция,8.7,"Из далекого и жуткого будущего в наши дни прибывают два киборга. Первый терминатор по заданию людей будущего должен охранять от второго терминатора жизнь ничем не примечательного пока мальчишки, которому через двадцать лет суждено возглавить ""освободительное движение"" против компьютерной диктатуры."
Место встречи изменить нельзя,"криминал, детектив, боевик",1979,СССР,8.7,"Лето 1945. Отгремел салют Великой Победы и страна постепенно начинает возвращаться к мирной жизни. Молодой командир разведроты Володя Шарапов, приходит по распределению в отдел по борьбе с бандитизмом МУРа. В городе лютует банда ""Черная кошка"", наводя ужас на москвичей. В схватку с бандитами вступает капитан Жеглов, для которого Шарапов вскоре становится ""правой рукой""..."
Бриллиантовая рука,"комедия, приключения, криминал",1968,СССР,8.7,"Эксцентрическая комедия о скромном труженике Семене Семеныче Горбункове, вступившим в героический поединок с шайкой контрабандистов-валютчиков, уже более четверти века остается одним из любимейших в народе кинопроизведений. Феерический каскад трюков, шуток, музыкальных номеров в исполнении блистательных комедийных актеров неизменно ""поражает"" смехом любую аудиторию..."
Матрица,"боевик, фантастика, триллер",1999,Австралия / США,8.7,"Жизнь Томаса Андерсона разделена на две части: днём он — самый обычный офисный работник, получающий нагоняи от начальства, а ночью превращается в хакера по имени Нео, и нет места в сети, куда он не смог бы дотянуться. Но однажды всё меняется — герой, сам того не желая, узнаёт страшную правду: всё, что его окружает — не более, чем иллюзия, Матрица, а люди — всего лишь источник питания для искусственного интеллекта, поработившего человечество. И только Нео под силу изменить расстановку сил в этом чужом и страшном мире."
Зеленая книга,драма,2018,США,8.7,"Утонченный светский лев, богатый и талантливый музыкант нанимает в качестве водителя и телохранителя человека, который менее всего подходит для этой работы.  Тони «Болтун» - вышибала, не умеющий держать рот на замке и пользоваться столовыми приборами, зато он хорошо работает кулаками. Это турне навсегда изменит жизнь обоих."
Энканто,"приключения, анимация, комедия",2021,США / Колумбия,8.7,"Удивительная семья Мадригалов живет в спрятанном в горах Колумбии волшебном доме, расположенном в чудесном и очаровательном уголке под названием Энканто. Каждого ребёнка в семье Мадригалов магия этого места благословила уникальным даром — от суперсилы до способности исцелять. Увы, магия обошла стороной одну лишь юную Мирабель. Обнаружив, что магия Энканто находится в опасности, Мирабель решает, что именно она может быть последней надеждой на спасение своей особенной семьи."
Иван Васильевич меняет профессию,"комедия, фантастика",1973,СССР,8.7,"Инженер-изобретатель Тимофеев сконструировал машину времени, которая соединила его квартиру с далеким шестнадцатым веком - точнее, с палатами государя Ивана Грозного. Туда-то и попадают тезка царя пенсионер-общественник Иван Васильевич Бунша и квартирный вор Жорж Милославский. На их место в двадцатом веке ""переселяется"" великий государь. Поломка машины времени приводит ко множеству неожиданных и забавных событий..."
Холодное сердце 2,"анимация, семейный, детский",2019,США,8.7,"Анна, Эльза, Кристоф, его верный олень Свен и никогда не унывающий снеговик Олаф должны будут покинуть уютное королевство Эренделл и отправиться ещё дальше на север, в путешествие, которое приведет их к истокам древних легенд и поможет раскрыть тайны, касающиеся прошлого их родной страны."
Изгой,"приключения, драма",2000,США,8.7,"Жизнь Чака Нолана, высокопоставленного инспектора международных отделений «ФедЕкс» расписана по минутам, ему катастрофически не хватает времени на личную жизнь."
Пираты Карибского моря: На странных берегах,"боевик, комедия, приключения",2011,США,8.7,"Капитан Джек Воробей снова в центре невероятной истории о правде и предательстве, юности и бессмертии."
Тайна Коко,"анимация, приключения",2017,США,8.7,"Невероятная, красочная и трогательная история двенадцатилетнего Мигеля, который в результате череды забавных недоразумений отправляется в захватывающее приключение. Юноше предстоит разгадать семейную тайну столетней давности, и устроить встречу родственников, какой ещё не бывало в истории!"
Шугалей 3,боевик,2021,Россия,8.7,"Максим Шугалей и Самер Суэйфан после долгого плена в ливийской тюрьме «Митига» наконец-то возвращаются в Россию. Несколько месяцев спустя на Шугалея выходит бывший управляющий банка в Триполи Фарид и предлагает встретиться в Египте — у него появилась новая информация о террористах в Ливии. Но встреча друзей в Каире так и не состоится. Чтобы помочь Фариду избежать собственной судьбы, Максиму придется на время отложить свои планы…"
Эверест,анимация,2019,США,8.7,"Путешествие на самую высокую точку мира?
Что может быть круче! Так решает Лу, когда случайно находит огромное, но очень милое чудовище посреди шумного мегаполиса. Пусть их преследуют ученые из сверхсекретной лаборатории, зато её новый друг умеет смешить и творить чудеса.
Лу уверена, что поможет дружелюбному йети вернуться домой – на Эверест."
"Где ты, Адам?",документальный,2019,Россия,8.7,"Сюжет фильма разворачивается в древнем монастыре Дохиар на западном побережье горы Афон, одного из полуостровов Эгейского моря, отданного в исключительное пользование монахам восточного христианства. Образы природы вплетаются в практически непрерывную череду труда и молитвы, выстраиваясь в ритмическую взаимосвязь человека и природы, намекая тем самым на рай, по которому мы все в глубине души истосковались. Но жемчужиной этого роскошного византийского ландшафта являются всё же сами монахи, чья теплота и самобытность были запечатлены приоткрытием завесы, скрывающей их повседневную жизнь, где у каждого свои радости, свои надежды и слабости. Приглашая создателей фильма в свою среду, монахи надеются пробудить в каждом зрителе память о своем воскресении. Центральной фигурой фильма стал старец монастыря игумен Григорий, чей многолетний опыт окормления наградил его глубоким пониманием души человеческой и её стремления вернутьcя в состояние, свойственное человеческой природе Адама до грехопадения."
Форрест Гамп,"комедия, мелодрама, драма",1994,США,8.7,"Захватывающий, глубокий, очень добрый и трогательный фильм рассказывает от лица главного героя Форреста Гампа, слабоумного безобидного человека с благородным и открытым сердцем, историю его необыкновенной жизни. Фантастическим образом превращается он в известного футболиста, героя войны, преуспевающего бизнесмена. Он становится миллиардером, но остается таким же бесхитростным, глупым и добрым. Форреста ждет постоянный успех во всем, а он любит девушку, с которой дружил в детстве,но взаимность приходит слишком поздно. Фильм заслуженно получил несколько «Оскаров», в том числе «Оскара» за лучшую картину года. Мир больше никогда не будет прежним с тех пор, как вы увидите его глазами Форреста Гампа."
Холодное сердце,"приключения, анимация, семейный",2013,США,8.7,"Когда древнее предсказание сбывается и королевство погружается в объятья вечной зимы, трое бесстрашных героев - принцесса Анна, отважный Кристофф и его верный олень Свен - отправятся в горы, чтобы найти сестру Анны, которая может снять с королевства леденящее заклятье. По пути их ждет множество увлекательных сюрпризов и захватывающих приключений - встреча с мистическими троллями, знакомство с очаровательным снеговиком по имени Олаф, горные вершины покруче Эвереста и магия в каждой снежинке… Анне и Кристоффу предстоит сплотиться и противостоять могучей стихии, чтобы спасти королевство и тех, кто им дорог!"
А зори здесь тихие,"исторический, драма, военный",1972,СССР,8.7,"В прифронтовой полосе группа девушек-зенитчиц вынуждена вступить в неравный бой с вражескими десантниками. Эти девчонки мечтали о большой любви, нежности, семейном тепле — но на их долю выпала жестокая война, и они до конца выполнили свой воинский долг…"
Богемская рапсодия,"драма, биография, мюзикл",2018,США / Великобритания,8.7,"«Богемская рапсодия» - это чествование группы Queen, их музыки и их выдающегося вокалиста Фредди Меркьюри, который бросил вызов стереотипам и победил условности, чтобы стать одним из самых любимых артистов на планете. Фильм прослеживает головокружительный путь группы к успеху, благодаря их культовым песням и революционному звуку, практически распад коллектива, поскольку образ жизни Меркьюри выходит из-под контроля, и их триумфальное воссоединение накануне концерта Live Aid, ставшем одним из величайших выступлений в истории рок-музыки. Фильм цементирует наследие группы, отношения внутри которой всегда были больше похожи на семейные, и которая продолжают вдохновлять неудачников, мечтателей и любителей музыки по сей день."
Любовь и голуби,"комедия, мелодрама",1984,СССР,8.7,"Веселая и поучительная история об измене и возвращении домой Василия Кузякина, рассказанная с добрым юмором и большой любовью к людям."
Титаник,"мелодрама, драма, приключения",1997,США,8.7,"Молодые влюбленные Джек и Роза находят друг друга в первом и последнем плавании «непотопляемого» Титаника. Они не могли знать, что шикарный лайнер столкнется с айсбергом в холодных водах Северной Атлантики, и их страстная любовь превратится в схватку со смертью…"
Вайолет Эвергарден. Фильм,"анимация, драма, фэнтези",2020,Япония,8.7,Психически и физически искалеченная войной девушка продолжает с завидным упорством и невозмутимостью помогать людям писать выразительные письма близким и сама при этом пытается научиться понимать эмоции и смириться с потерей любимого.
Чемпион мира,драма,2021,Россия,8.6,"Некоторые победы в спорте – больше, чем спорт. Они становятся частью истории."
Терминатор 2: Судный день 3D,"боевик, триллер",2017,США,8.6,"Прошло более десяти лет с тех пор, как киборг-терминатор из 2029 года пытался уничтожить Сару Коннор — женщину, чей будущий сын выиграет войну человечества против машин.

Теперь у Сары родился сын Джон и время, когда он поведёт за собой выживших людей на борьбу с машинами, неумолимо приближается. Именно в этот момент из постапокалиптического будущего прибывает новый терминатор — практически неуязвимый и способный принимать любое обличье. Цель нового терминатора уже не Сара, а уничтожение молодого Джона Коннора.

Однако шансы Джона на спасение существенно повышаются, когда на помощь приходит перепрограммированный сопротивлением терминатор предыдущего поколения. Оба киборга вступают в смертельный бой, от исхода которого зависит судьба человечества."
Не время умирать,"боевик, криминал, триллер, приключения",2021,США / Великобритания,8.6,"Бонд оставил оперативную службу и наслаждается спокойной жизнью на Ямайке. Все меняется, когда на островепоявляется его старый друг Феликс Лейтер из ЦРУ с просьбой о помощи. Миссия по спасению похищенного ученого оказывается опаснее, чем предполагалось изначально. Бонд попадает в ловушку к таинственному злодею, который владеет уникальным технологическим оружием."
